Date,Open,High,Low,Close,Volume
2026-01-22 00:00:00+01:00,3020.371,3028.376,3002.596,3003.061,91550746
2026-01-23 00:00:00+01:00,3002.781,3013.634,2993.449,3013.634,85787095
2026-01-26 00:00:00+01:00,3004.832,3032.098,3002.344,3024.151,74294599
2026-01-27 00:00:00+01:00,3041.478,3044.588,3023.018,3043.945,84202565
2026-01-28 00:00:00+01:00,3050.615,3058.871,3023.854,3027.467,86466098
2026-01-29 00:00:00+01:00,3034.477,3068.546,3026.022,3031.392,124771376
2026-01-30 00:00:00+01:00,3024.208,3041.456,3019.58,3026.568,88465497
2026-02-02 00:00:00+01:00,3002.027,3073.274,2990.984,3066.861,88731114
2026-02-03 00:00:00+01:00,3080.259,3100.656,3066.037,3087.346,101050488
2026-02-04 00:00:00+01:00,3089.412,3144.104,3088.889,3117.929,143610614
2026-02-05 00:00:00+01:00,3104.754,3121.091,3071.833,3089.67,108018954
2026-02-06 00:00:00+01:00,3088.401,3126.349,3075.798,3120.449,80066263
2026-02-09 00:00:00+01:00,3135.148,3139.577,3112.643,3136.558,74109455
2026-02-10 00:00:00+01:00,3141.558,3153.082,3134.949,3136.544,73858516
2026-02-11 00:00:00+01:00,3134.345,3168.915,3123.332,3145.475,92407354
2026-02-12 00:00:00+01:00,3159.976,3163.123,3123.167,3123.649,104661661
2026-02-13 00:00:00+01:00,3119.059,3124.047,3095.6,3119.756,96510612
2026-02-16 00:00:00+01:00,3127.09,3136.404,3119.872,3121.803,65321919
2026-02-17 00:00:00+01:00,3116.02,3132.753,3098.923,3130.122,69720696
2026-02-18 00:00:00+01:00,3135.385,3171.482,3135.194,3166.108,67886979
2026-02-19 00:00:00+01:00,3163.137,3164.241,3148.694,3157.963,59195715
2026-02-20 00:00:00+01:00,3168.827,3191.467,3154.365,3180.456,86171820
2026-02-23 00:00:00+01:00,3175.937,3184.187,3161.977,3166.647,63825060
2026-02-24 00:00:00+01:00,3168.86,3200.317,3163.955,3190.867,74791656
2026-02-25 00:00:00+01:00,3198.6,3215.531,3194.702,3195.566,99190809
2026-02-26 00:00:00+01:00,3204.233,3225.958,3196.979,3205.277,74306740
2026-02-27 00:00:00+01:00,3207.379,3230.072,3207.319,3222.753,105883970
2026-03-02 00:00:00+01:00,3154.908,3183.383,3146.97,3168.388,87959366
2026-03-03 00:00:00+01:00,3125.298,3125.298,3053.871,3082.966,103743982
2026-03-04 00:00:00+01:00,3081.123,3137.634,3080.337,3118.014,94180143
2026-03-05 00:00:00+01:00,3109.364,3139.318,3076.414,3077.209,69289607
2026-03-06 00:00:00+01:00,3093.619,3101.923,3011.158,3038.549,75638227
2026-03-09 00:00:00+01:00,2944.74,3001.707,2942.84,2992.864,90370351
2026-03-10 00:00:00+01:00,3067.634,3099.44,3060.491,3082.614,87979513
2026-03-11 00:00:00+01:00,3058.985,3075.018,3036.061,3058.955,67671545
2026-03-12 00:00:00+01:00,3058.774,3083.422,3037.015,3063.089,73076973
2026-03-13 00:00:00+01:00,3037.506,3075.57,3016.319,3018.719,67979926
2026-03-16 00:00:00+01:00,3021.97,3043.243,3001.813,3027.731,62153966
2026-03-17 00:00:00+01:00,3020.676,3048.383,3014.938,3023.592,64975366
2026-03-18 00:00:00+01:00,3039.723,3064.947,3000.67,3015.273,75953843
2026-03-19 00:00:00+01:00,2963.547,2967.903,2903.954,2908.966,97496413
2026-03-20 00:00:00+01:00,2933.65,2942.41,2863.79,2864.693,152852768
2026-03-23 00:00:00+01:00,2785.292,2940.031,2783.9,2892.186,109505086
2026-03-24 00:00:00+01:00,2899.514,2908.351,2856.614,2908.351,91220928
2026-03-25 00:00:00+01:00,2931.904,2948.305,2918.285,2943.348,100952560
2026-03-26 00:00:00+01:00,2917.549,2918.085,2882.919,2889.812,89636945
2026-03-27 00:00:00+01:00,2884.599,2889.261,2845.202,2863.918,68137461
2026-03-30 00:00:00+01:00,2857.117,2902.294,2844.765,2890.291,86414366
2026-03-31 00:00:00+01:00,2896.816,2941.496,2891.164,2929.326,98637575
2026-04-01 00:00:00+01:00,3004.002,3013.672,2979.267,3006.37,103872337
2026-04-02 00:00:00+01:00,2945.76,2973.499,2945.76,2965.688,42750624
2026-04-07 00:00:00+01:00,3004.825,3014.168,2955.183,2967.917,84527776
2026-04-08 00:00:00+01:00,3081.827,3101.84,3073.969,3084.066,30870556
2026-04-09 00:00:00+01:00,3076.021,3079.309,3050.62,3079.309,74715082
2026-04-10 00:00:00+01:00,3082.757,3127.493,3082.018,3109.898,76589677
2026-04-13 00:00:00+01:00,3072.058,3103.626,3069.151,3102.732,77644463
2026-04-14 00:00:00+01:00,3124.566,3135.707,3111.738,3131.199,75450481
2026-04-15 00:00:00+01:00,3129.653,3148.879,3115.024,3118.41,73241017
2026-04-16 00:00:00+01:00,3127.507,3129.146,3103.842,3120.748,79903961
2026-04-17 00:00:00+01:00,3108.557,3184.183,3106.912,3182.128,125732957
2026-04-20 00:00:00+01:00,3133.729,3161.096,3133.729,3153.116,74494113
2026-04-21 00:00:00+01:00,3162.243,3172.239,3126.375,3133.289,74819241
2026-04-22 00:00:00+01:00,3151.437,3157.141,3124.925,3128.387,82019003
2026-04-23 00:00:00+01:00,3109.585,3139.842,3108.012,3131.352,74918648
2026-04-24 00:00:00+01:00,3118.977,3133.155,3086.286,3101.077,70060418
